example_id                                                              | status  | run_time        |
----------------------------------------------------------------------- | ------- | --------------- |
./spec/features/authentication/user_can_create_new_account_spec.rb[1:1] | failed  | 0.31883 seconds |
./spec/features/authentication/user_can_create_new_account_spec.rb[1:2] | failed  | 0.35009 seconds |
./spec/features/authentication/user_can_log_in_spec.rb[1:1]             | failed  | 0.21719 seconds |
./spec/features/authentication/user_can_log_in_spec.rb[1:2]             | failed  | 0.19133 seconds |
./spec/features/authentication/user_can_log_in_spec.rb[1:3]             | failed  | 0.33437 seconds |
./spec/features/authentication/user_can_log_in_spec.rb[1:4]             | failed  | 0.2178 seconds  |
./spec/features/users/user_can_make_a_post_spec.rb[1:1]                 | failed  | 0.38115 seconds |
./spec/features/users/user_can_make_a_post_spec.rb[1:2]                 | failed  | 0.47676 seconds |
./spec/features/users/user_can_make_a_post_spec.rb[1:3]                 | pending | 0.00002 seconds |
./spec/models/authentication_spec.rb[1:1]                               | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:1]                                         | pending | 0.00001 seconds |
